14
1                 2             3                       4
31                 86             1                       8
31                 87             1                       7
31                 89             3                       9
31                 96             3                       1
31                 99             0                       4
31                 100             0                       1
32                 31             1                       3
32                 42             0                       2
32                 58             2                       9
32                 63             0                       5
32                 90             4                       2
32                 92             1                       8
32                 94             4                       3
32                 95             4                       5
32                 96             0                       6
32                 100             4                       6
33                 5             2                       7
33                 15             1                       5
33                 39             4                       9
33                 51             0                       6
33                 54             1                       1
33                 64             2                       7
33                 66             4                       5
33                 84             1                       5
33                 85             0                       2
33                 93             2                       3
34                 44             3                       3
34                 47             1                       6
34                 54             0                       2
34                 56             2                       8
34                 74             1                       5
34                 84             0                       2
34                 87             3                       2
34                 88             2                       8
34                 94             3                       1
34                 97             0                       3
35                 17             0                       8
35                 35             3                       1
35                 50             3                       7
35                 55             4                       9
35                 62             1                       6
35                 76             2                       5
35                 84             1                       10
35                 85             3                       3
35                 90             4                       7
35                 97             4                       4
36                 8             1                       6
36                 12             0                       6
36                 25             0                       7
36                 32             0                       2
36                 47             1                       7
36                 48             4                       8
36                 54             1                       4
36                 55             2                       10
36                 59             4                       4
36                 61             0                       5
37                 12             4                       9
37                 18             4                       4
37                 37             0                       1
37                 43             0                       3
37                 55             3                       3
37                 56             4                       7
37                 59             4                       6
37                 63             2                       1
37                 72             2                       4
37                 80             2                       8
38                 3             2                       7
38                 4             2                       3
38                 19             2                       9
38                 20             0                       7
38                 21             4                       2
38                 22             1                       10
38                 56             1                       3
38                 94             0                       5
38                 97             1                       9
38                 100             1                       2
39                 3             2                       9
39                 14             0                       3
39                 30             0                       9
39                 32             1                       3
39                 71             2                       8
39                 89             0                       2
39                 91             4                       7
39                 92             4                       2
39                 95             4                       6
39                 96             3                       7
40                 29             1                       3
40                 47             1                       8
40                 49             0                       8
40                 55             2                       5
40                 69             3                       3
40                 96             0                       2
40                 97             4                       10
40                 98             2                       3
40                 99             3                       2
40                 100             4                       10
41                 19             0                       10
41                 24             1                       1
41                 31             1                       4
41                 38             1                       7
41                 43             0                       5
41                 46             1                       3
41                 51             4                       3
41                 63             1                       8
41                 73             4                       3
41                 74             1                       1
42                 23             2                       9
42                 46             3                       8
42                 59             3                       7
42                 68             1                       4
42                 76             3                       6
42                 78             0                       6
42                 79             4                       6
42                 82             3                       1
42                 95             2                       8
42                 99             2                       9
43                 1             3                       2
43                 18             4                       9
43                 27             3                       2
43                 53             1                       1
43                 59             0                       1
43                 71             4                       9
43                 73             0                       7
43                 81             2                       6
43                 83             2                       8
43                 85             0                       8
44                 12             3                       7
44                 19             4                       5
44                 35             0                       2
44                 36             3                       7
44                 37             3                       4
44                 53             2                       2
44                 60             3                       7
44                 63             2                       6
44                 64             2                       3
44                 67             4                       8
45                 3             1                       8
45                 7             1                       8
45                 13             4                       6
45                 15             1                       9
45                 22             4                       6
45                 35             4                       3
45                 38             2                       2
45                 42             3                       8
45                 55             0                       1
45                 58             4                       2
46                 15             3                       6
46                 16             3                       9
46                 42             4                       9
46                 51             1                       4
46                 62             4                       5
46                 80             4                       9
46                 91             1                       8
46                 93             2                       4
46                 95             1                       2
46                 97             4                       5
47                 13             4                       7
47                 14             2                       7
47                 20             2                       8
47                 21             1                       9
47                 48             3                       10
47                 67             2                       2
47                 68             0                       1
47                 75             4                       2
47                 81             1                       3
47                 89             2                       5
48                 18             3                       2
48                 31             0                       5
48                 36             4                       3
48                 41             4                       5
48                 43             3                       8
48                 69             1                       6
48                 82             2                       2
48                 88             3                       3
48                 90             4                       8
48                 92             1                       10
49                 11             4                       6
49                 23             4                       2
49                 33             1                       7
49                 37             4                       10
49                 66             1                       1
49                 77             4                       8
49                 79             3                       2
49                 84             1                       7
49                 86             2                       6
49                 89             2                       10
50                 14             2                       2
50                 28             0                       8
50                 35             2                       4
50                 45             2                       8
50                 84             2                       8
50                 90             4                       9
50                 96             0                       3
50                 98             4                       10
50                 99             3                       7
50                 100             0                       4
51                 17             4                       2
51                 24             0                       8
51                 28             2                       6
51                 40             2                       9
51                 41             3                       6
51                 56             1                       4
51                 67             4                       10
51                 74             4                       9
51                 82             4                       10
51                 84             1                       6
52                 2             1                       3
52                 9             0                       1
52                 16             1                       2
52                 18             2                       5
52                 19             3                       7
52                 39             3                       7
52                 45             3                       3
52                 58             1                       10
52                 64             3                       4
52                 65             1                       3
53                 5             3                       5
53                 23             2                       4
53                 36             1                       4
53                 47             3                       2
53                 49             4                       3
53                 62             4                       9
53                 65             1                       4
53                 68             3                       5
53                 72             3                       8
53                 73             3                       9
54                 11             1                       7
54                 18             2                       6
54                 27             0                       9
54                 38             2                       8
54                 44             4                       8
54                 78             0                       8
54                 80             0                       1
54                 83             0                       1
54                 87             1                       3
54                 88             1                       9
55                 3             2                       1
55                 24             2                       5
55                 26             1                       3
55                 32             0                       7
55                 40             0                       3
55                 61             1                       10
55                 68             1                       6
55                 85             2                       5
55                 92             3                       9
55                 96             4                       10
56                 34             2                       6
56                 36             2                       2
56                 47             3                       9
56                 57             1                       5
56                 62             0                       1
56                 63             1                       9
56                 71             1                       4
56                 77             2                       9
56                 78             4                       2
56                 91             2                       4
57                 4             2                       5
57                 6             1                       8
57                 7             2                       10
57                 20             2                       9
57                 28             3                       9
57                 32             0                       4
57                 34             3                       7
57                 50             4                       9
57                 54             0                       5
57                 72             4                       9
58                 3             1                       2
58                 12             3                       8
58                 16             3                       5
58                 23             3                       5
58                 36             3                       1
58                 48             2                       9
58                 68             4                       7
58                 80             0                       2
58                 81             2                       10
58                 87             1                       4
59                 10             1                       4
59                 25             2                       1
59                 26             2                       6
59                 29             0                       6
59                 32             3                       8
59                 45             4                       1
59                 53             2                       7
59                 68             4                       10
59                 78             0                       3
59                 93             3                       1
60                 10             3                       6
60                 15             0                       1
60                 22             0                       2
60                 24             3                       4
60                 30             1                       4
60                 49             1                       4
60                 70             0                       1
60                 73             2                       8
60                 78             0                       7
60                 81             2                       2
61                 1             3                       7
61                 3             3                       10
61                 11             3                       8
61                 34             3                       8
61                 38             0                       3
61                 39             2                       8
61                 48             0                       1
61                 53             2                       9
61                 62             3                       7
61                 67             1                       3
62                 11             4                       2
62                 26             1                       5
62                 27             2                       7
62                 33             0                       9
62                 42             3                       3
62                 66             3                       7
62                 72             2                       1
62                 74             2                       2
62                 75             4                       6
62                 91             4                       9
63                 16             3                       6
63                 20             0                       10
63                 31             4                       9
63                 40             2                       4
63                 49             1                       9
63                 53             0                       8
63                 63             4                       10
63                 64             4                       10
63                 69             4                       10
63                 80             1                       10
64                 4             0                       9
64                 13             4                       3
64                 24             4                       9
64                 32             0                       5
64                 34             3                       9
64                 59             2                       8
64                 62             4                       3
64                 65             4                       10
64                 81             2                       7
64                 87             2                       8
65                 3             2                       3
65                 7             2                       4
65                 12             0                       10
65                 14             2                       8
65                 21             2                       8
65                 24             3                       2
65                 31             1                       2
65                 34             2                       3
65                 39             0                       10
65                 49             1                       5
66                 1             0                       4
66                 7             0                       1
66                 11             1                       3
66                 16             1                       3
66                 17             2                       9
66                 18             2                       10
66                 30             4                       1
66                 33             0                       3
66                 35             1                       5
66                 36             4                       8
67                 5             0                       1
67                 8             2                       7
67                 19             1                       3
67                 44             1                       6
67                 49             3                       10
67                 69             0                       1
67                 73             0                       4
67                 78             4                       9
67                 88             2                       4
67                 91             4                       3
68                 4             2                       6
68                 5             1                       2
68                 6             0                       2
68                 17             2                       6
68                 27             1                       3
68                 29             1                       4
68                 50             3                       2
68                 64             2                       5
68                 65             2                       2
68                 66             4                       8
69                 22             0                       3
69                 27             0                       4
69                 54             4                       9
69                 58             2                       5
69                 66             2                       6
69                 77             1                       10
69                 92             3                       5
69                 95             0                       1
69                 99             4                       5
69                 100             3                       8
70                 8             3                       1
70                 36             4                       5
70                 40             4                       5
70                 46             2                       5
70                 70             1                       5
70                 75             2                       4
70                 79             3                       8
70                 85             3                       9
70                 91             0                       10
70                 99             0                       3
71                 6             0                       3
71                 14             1                       4
71                 16             2                       10
71                 40             2                       6
71                 52             1                       3
71                 67             1                       7
71                 81             0                       8
71                 82             2                       6
71                 86             1                       3
71                 93             4                       5
72                 1             3                       8
72                 8             0                       2
72                 21             2                       4
72                 23             3                       6
72                 28             2                       1
72                 29             2                       10
72                 40             0                       1
72                 51             1                       7
72                 61             2                       7
72                 68             3                       8
73                 5             1                       6
73                 14             4                       9
73                 17             1                       3
73                 25             0                       5
73                 26             4                       9
73                 33             1                       5
73                 35             2                       7
73                 56             0                       1
73                 57             2                       3
73                 58             2                       6
74                 9             1                       5
74                 13             2                       8
74                 31             2                       7
74                 45             3                       9
74                 46             4                       10
74                 47             3                       3
74                 48             2                       5
74                 53             1                       5
74                 57             1                       8
74                 74             3                       3
75                 15             1                       2
75                 17             1                       4
75                 29             0                       5
75                 57             4                       9
75                 65             2                       7
75                 78             2                       5
75                 81             2                       9
75                 82             0                       8
75                 93             4                       10
75                 94             0                       6
76                 4             3                       10
76                 7             0                       2
76                 25             1                       4
76                 67             1                       4
76                 79             4                       9
76                 88             4                       10
76                 89             2                       6
76                 94             3                       7
76                 96             0                       8
76                 97             1                       6
77                 14             4                       10
77                 39             1                       3
77                 49             0                       2
77                 54             1                       6
77                 62             3                       4
77                 63             4                       4
77                 69             2                       7
77                 86             0                       4
77                 88             3                       5
77                 90             2                       10
78                 21             2                       5
78                 22             3                       8
78                 25             4                       9
78                 59             1                       2
78                 71             2                       10
78                 76             2                       7
78                 77             3                       5
78                 82             1                       3
78                 94             3                       8
78                 97             0                       1
79                 2             3                       8
79                 12             2                       4
79                 18             4                       3
79                 41             0                       2
79                 44             3                       9
79                 52             4                       9
79                 57             2                       6
79                 69             0                       2
79                 76             0                       2
79                 92             3                       3
80                 4             2                       7
80                 6             2                       9
80                 9             4                       6
80                 25             0                       2
80                 36             4                       9
80                 52             3                       10
80                 58             2                       7
80                 59             2                       5
80                 60             2                       5
80                 80             2                       5
81                 6             0                       6
81                 18             0                       1
81                 25             4                       10
81                 28             4                       7
81                 32             4                       10
81                 39             0                       2
81                 52             1                       4
81                 72             3                       10
81                 79             1                       1
81                 92             0                       1
82                 1             2                       9
82                 2             4                       10
82                 23             0                       7
82                 24             4                       10
82                 30             4                       10
82                 70             2                       6
82                 74             1                       4
82                 93             1                       2
82                 95             4                       9
82                 98             3                       1
83                 13             0                       9
83                 41             4                       7
83                 48             0                       2
83                 51             0                       8
83                 59             3                       10
83                 65             4                       8
83                 75             0                       1
83                 85             4                       6
83                 86             2                       7
83                 92             2                       6
84                 6             3                       10
84                 12             3                       3
84                 36             4                       10
84                 47             3                       4
84                 56             4                       9
84                 74             3                       8
84                 84             0                       9
84                 95             4                       10
84                 98             4                       4
84                 99             4                       10
85                 7             1                       9
85                 13             1                       4
85                 21             4                       10
85                 37             1                       7
85                 44             4                       10
85                 46             3                       2
85                 70             0                       2
85                 74             3                       10
85                 77             4                       3
85                 80             3                       4
86                 22             3                       9
86                 26             4                       10
86                 28             3                       2
86                 30             3                       5
86                 33             2                       8
86                 66             0                       4
86                 70             4                       3
86                 83             4                       4
86                 87             2                       5
86                 90             4                       4
87                 1             2                       5
87                 19             0                       2
87                 31             4                       10
87                 33             0                       6
87                 40             2                       2
87                 48             3                       6
87                 57             4                       10
87                 82             4                       7
87                 83             2                       2
87                 87             1                       9
88                 1             3                       10
88                 13             3                       5
88                 24             2                       6
88                 29             1                       7
88                 33             3                       10
88                 38             0                       9
88                 43             4                       9
88                 45             2                       6
88                 48             1                       4
88                 55             3                       8
89                 8             3                       3
89                 25             3                       3
89                 28             0                       3
89                 46             0                       4
89                 51             3                       9
89                 58             3                       3
89                 61             1                       6
89                 69             3                       8
89                 77             3                       6
89                 79             2                       3
90                 4             0                       8
90                 5             3                       9
90                 10             3                       9
90                 15             1                       7
90                 23             4                       10
90                 27             3                       10
90                 38             4                       6
90                 42             1                       1
90                 49             3                       7
90                 57             0                       7
91                 6             2                       4
91                 11             4                       9
91                 21             1                       3
91                 35             0                       8
91                 44             1                       7
91                 54             2                       10
91                 56             3                       2
91                 62             0                       2
91                 63             0                       2
91                 77             3                       7
92                 11             2                       5
92                 21             3                       6
92                 22             2                       4
92                 29             0                       8
92                 40             4                       10
92                 42             3                       7
92                 45             0                       2
92                 51             0                       5
92                 58             0                       1
92                 60             1                       8
93                 4             0                       4
93                 30             2                       6
93                 47             0                       1
93                 53             0                       3
93                 62             2                       10
93                 63             2                       7
93                 75             4                       10
93                 76             0                       3
93                 83             4                       5
93                 86             3                       9
94                 10             1                       2
94                 27             1                       6
94                 28             1                       4
94                 42             2                       4
94                 47             4                       10
94                 52             1                       8
94                 53             3                       10
94                 55             4                       6
94                 60             4                       9
94                 61             2                       8
95                 25             4                       6
95                 35             3                       9
95                 54             1                       8
95                 67             1                       5
95                 92             1                       4
95                 96             3                       4
95                 97             1                       7
95                 98             3                       7
95                 99             0                       8
95                 100             3                       3
96                 2             2                       5
96                 34             0                       4
96                 42             4                       10
96                 50             2                       10
96                 60             1                       4
96                 64             4                       6
96                 66             0                       2
96                 76             3                       4
96                 80             4                       6
96                 87             1                       6
97                 16             4                       1
97                 30             0                       2
97                 41             0                       3
97                 44             2                       4
97                 72             3                       2
97                 89             4                       7
97                 90             3                       5
97                 94             3                       2
97                 99             2                       6
97                 100             1                       5
98                 3             1                       4
98                 9             3                       7
98                 43             4                       10
98                 50             2                       3
98                 56             3                       10
98                 72             2                       5
98                 93             4                       6
98                 94             4                       10
98                 95             2                       3
98                 97             1                       2
99                 8             0                       4
99                 13             4                       10
99                 16             4                       7
99                 37             1                       5
99                 66             0                       3
99                 77             4                       2
99                 78             3                       4
99                 79             4                       10
99                 83             4                       9
99                 85             1                       4
100                 11             4                       10
100                 15             1                       8
100                 38             0                       4
100                 64             1                       2
100                 73             0                       5
100                 78             4                       10
100                 82             1                       4
100                 83             4                       10
100                 91             3                       6
100                 94             1                       4
